ID,Tópico,Perfil da Pergunta,Pergunta,Resposta Correta,Evidência na Base,Tag,Nível de Confiança
Q112,E-mail automático,Reformulação semântica,Com quantos dias de antecedência sou notificado sobre o vencimento?,Com 60 dias de antecedência.,60 dias antes do vencimento.,ferias_email_automatico,Alto
Q113,Responsabilidade do gestor imediato,Direto ao ponto,Quem aprova as férias?,O gestor imediato é responsável pela aprovação das férias.,Aprovação das férias é responsabilidade do gestor imediato.,ferias_gestor_imediato,Alto
Q114,Responsabilidade do gestor imediato,Direto ao ponto,Quem controla os períodos aquisitivos?,O gestor imediato controla os períodos aquisitivos.,Gestor imediato controla períodos aquisitivos.,ferias_controle_aquisitivo,Alto
Q115,Responsabilidade do gestor imediato,Coloquial ou ansioso,meu gestor que tem que cuidar pra não vencer férias?,Sim. O gestor imediato é responsável pelo controle dos períodos aquisitivos para evitar férias em dobro.,Gestor controla para evitar férias em dobro.,ferias_gestor_imediato,Alto
Q116,Responsabilidade do gestor imediato,Cenário complexo,"Se houver risco de férias em dobro, quem tem responsabilidade direta pelo controle?",O gestor imediato é responsável pela aprovação e controle dos períodos aquisitivos para evitar férias em dobro.,Responsabilidade do gestor imediato.,ferias_dobro,Alto
Q117,Responsabilidade do gestor imediato,Negativo ou limite,O colaborador aprova sozinho as próprias férias?,Não. A aprovação é responsabilidade do gestor imediato.,Gestor imediato realiza aprovação.,ferias_aprovacao,Alto
Q118,Responsabilidade do gestor imediato,Busca por responsabilidade,Quem deve acompanhar aprovação e controle das férias?,O gestor imediato.,Cabe ao gestor imediato a aprovação e controle.,ferias_gestor_imediato,Alto
Q119,Responsabilidade do gestor imediato,Reformulação semântica,Cabe ao gestor controlar férias vencendo?,Sim. Cabe ao gestor imediato controlar períodos aquisitivos para evitar férias em dobro.,Gestor controla períodos aquisitivos.,ferias_controle_aquisitivo,Alto
Q120,Antecedência mínima para aprovação,Direto ao ponto,Qual prazo mínimo para aprovar férias?,As férias devem ser aprovadas com no mínimo 35 dias de antecedência do início do período de gozo.,Aprovação com no mínimo 35 dias.,ferias_prazo_aprovacao,Alto
Q121,Antecedência mínima para aprovação,Direto ao ponto,Férias podem ser aprovadas faltando menos de 35 dias?,Não conforme a política. O prazo mínimo de aprovação é de 35 dias.,Mínimo de 35 dias de antecedência.,ferias_prazo_aprovacao,Alto
Q122,Antecedência mínima para aprovação,Coloquial ou ansioso,dá pra aprovar férias em cima da hora?,Não conforme a política. As férias precisam ser aprovadas com no mínimo 35 dias de antecedência.,Aprovação mínima de 35 dias.,ferias_prazo_aprovacao,Alto
Q123,Antecedência mínima para aprovação,Cenário complexo,Minhas férias começam em 30 dias e ainda não foram aprovadas. Está dentro da regra?,Não. A política exige aprovação com no mínimo 35 dias de antecedência.,35 dias antes do início do gozo.,ferias_prazo_aprovacao,Alto
Q124,Antecedência mínima para aprovação,Negativo ou limite,O gestor pode aprovar férias sem respeitar 35 dias?,Não conforme a política. O prazo mínimo de 35 dias deve ser respeitado.,Férias devem receber aprovação com 35 dias.,ferias_prazo_aprovacao,Alto
Q125,Antecedência mínima para aprovação,Busca por procedimento,Quando devo garantir a aprovação das férias?,A aprovação deve ocorrer pelo menos 35 dias antes do início do período de gozo.,Aprovação com 35 dias de antecedência.,ferias_prazo_aprovacao,Alto
Q126,Antecedência mínima para aprovação,Reformulação semântica,Com quanto tempo antes as férias precisam estar autorizadas?,Com no mínimo 35 dias de antecedência.,"Autorização com, no mínimo, 35 dias.",ferias_prazo_aprovacao,Alto
Q127,Alteração da data de férias,Direto ao ponto,Posso alterar a data das férias?,"Sim, desde que seja respeitado o prazo de 35 dias.",Alteração da data deve respeitar 35 dias.,ferias_alteracao_data,Alto
Q128,Alteração da data de férias,Direto ao ponto,Qual prazo para mudar férias?,O prazo para alteração da data é de 35 dias.,Mesmo prazo mencionado: 35 dias.,ferias_alteracao_data,Alto
Q129,Alteração da data de férias,Coloquial ou ansioso,"preciso mudar minhas férias, tem prazo?","Sim. Para alterar a data, o prazo de 35 dias deve ser respeitado.",Alteração deve observar 35 dias.,ferias_alteracao_data,Alto
Q130,Alteração da data de férias,Cenário complexo,Minhas férias começam em 20 dias e quero alterar a data. A política permite?,"Não conforme a política, pois a alteração da data deve respeitar o prazo de 35 dias.",Alteração deve cumprir 35 dias.,ferias_alteracao_data,Alto
Q131,Alteração da data de férias,Negativo ou limite,Posso mudar férias sem cumprir o prazo de 35 dias?,Não conforme a política. O prazo de 35 dias deve ser cumprido para alteração de data.,Prazo de 35 dias deverá ser cumprido.,ferias_alteracao_data,Alto
Q132,Alteração da data de férias,Busca por procedimento,O que devo observar antes de pedir alteração de férias?,Deve observar o prazo mínimo de 35 dias para alteração da data.,Prazo citado anteriormente: 35 dias.,ferias_alteracao_data,Alto
Q133,Alteração da data de férias,Reformulação semântica,Qual antecedência vale para remarcar férias?,A antecedência é de 35 dias.,Mesmo período de 35 dias.,ferias_alteracao_data,Alto
Q134,Relatórios gerenciais,Direto ao ponto,O gestor tem relatórios de férias?,Sim. O gestor tem acesso a relatórios gerenciais no portal RH.,Gestor tem acesso aos relatórios gerenciais.,ferias_relatorios,Alto
Q135,Relatórios gerenciais,Direto ao ponto,Onde ficam os relatórios gerenciais?,No portal RH.,Relatórios gerenciais no portal RH.,ferias_relatorios,Alto
Q136,Relatórios gerenciais,Coloquial ou ansioso,meu gestor consegue ver meus períodos pelo portal?,Sim. O gestor tem acesso a relatórios gerenciais para controle e acompanhamento dos períodos aquisitivos.,Gestor acompanha períodos aquisitivos no portal RH.,ferias_relatorios,Alto
Q137,Relatórios gerenciais,Cenário complexo,Como o gestor acompanha vários colaboradores com períodos aquisitivos diferentes?,O gestor usa relatórios gerenciais no portal RH para controle e acompanhamento dos períodos aquisitivos.,Controle por relatórios gerenciais.,ferias_relatorios,Alto
Q138,Relatórios gerenciais,Negativo ou limite,A política diz que o colaborador tem acesso aos relatórios gerenciais?,Essa informação não está especificada na política fornecida. A política informa acesso do gestor.,Gestor tem acesso aos relatórios.,ferias_relatorios,Baixo
Q139,Relatórios gerenciais,Busca por procedimento,Como controlar períodos aquisitivos no portal RH?,A política informa que o gestor tem acesso aos relatórios gerenciais no portal RH para controle e acompanhamento.,Relatórios gerenciais no portal RH.,ferias_relatorios,Alto
Q140,Relatórios gerenciais,Reformulação semântica,O gestor pode monitorar férias pelo portal?,Sim. Ele tem acesso a relatórios gerenciais no portal RH.,Gestor monitora pelo portal RH.,ferias_relatorios,Alto
Q141,Acompanhamento pelo RH,Direto ao ponto,O RH acompanha períodos aquisitivos?,Sim. A Administração estratégica de RH acompanha os períodos aquisitivos.,RH acompanha períodos aquisitivos.,ferias_rh_acompanhamento,Alto
Q142,Acompanhamento pelo RH,Direto ao ponto,O RH identifica pendências de férias?,Sim. O RH identifica pendências que possam gerar férias em dobro.,RH identifica pendências por relatórios gerenciais.,ferias_rh_pendencias,Alto
Q143,Acompanhamento pelo RH,Coloquial ou ansioso,o RH vê se minhas férias podem dobrar?,Sim. A área de Administração estratégica de RH identifica pendências que possam gerar férias em dobro.,Identifica pendências que possam gerar férias em dobro.,ferias_dobro,Alto
Q144,Acompanhamento pelo RH,Cenário complexo,"Se o gestor não controlar adequadamente, há acompanhamento adicional pelo RH?","Sim. A Administração estratégica de RH acompanha períodos aquisitivos, verifica programação e identifica pendências.",RH acompanha e verifica programação.,ferias_rh_acompanhamento,Alto
Q145,Acompanhamento pelo RH,Negativo ou limite,O RH substitui toda responsabilidade do gestor?,Não conforme a política. O gestor imediato é responsável pela aprovação e controle; o RH acompanha e identifica pendências.,Gestor controla; RH acompanha.,ferias_responsabilidades,Alto
Q146,Acompanhamento pelo RH,Busca por responsabilidade,Quem identifica risco de férias em dobro por relatórios?,A Administração estratégica de RH.,RH identifica pendências por relatórios gerenciais.,ferias_rh_pendencias,Alto
Q147,Acompanhamento pelo RH,Reformulação semântica,A Administração estratégica de RH monitora férias?,"Sim. Ela acompanha os períodos aquisitivos, verifica programação e identifica pendências.",RH monitora períodos e pendências.,ferias_rh_acompanhamento,Alto
Q148,Processamento das férias,Direto ao ponto,Quem processa as férias?,A Administração estratégica de RH processa as férias após aprovação no portal.,RH processa após aprovação.,ferias_processamento,Alto
Q149,Processamento das férias,Direto ao ponto,Quando o RH processa as férias?,Após a aprovação das férias no portal.,"Após aprovação no portal, RH processa.",ferias_processamento,Alto
Q150,Processamento das férias,Coloquial ou ansioso,"depois que aprova no portal, quem mexe no pagamento?","A Administração estratégica de RH processa as férias, faz cálculo, conferência e envio ao financeiro.","RH processa, calcula, confere e envia ao financeiro.",ferias_pagamento_processamento,Alto
Q151,Processamento das férias,Cenário complexo,Minhas férias foram aprovadas no portal. Qual área dá sequência ao cálculo e pagamento?,"A Administração estratégica de RH processa as férias, seguindo prazos de cálculo, conferências e envio de pagamento ao financeiro.",RH processa e envia ao financeiro.,ferias_processamento,Alto
Q152,Processamento das férias,Negativo ou limite,O financeiro processa diretamente as férias após aprovação?,Essa informação não está especificada dessa forma. A política diz que a Administração estratégica de RH processa e envia o pagamento ao financeiro.,RH processa e envia ao financeiro.,ferias_financeiro,Médio
Q153,Processamento das férias,Busca por procedimento,O que ocorre após aprovação das férias no portal?,"A Administração estratégica de RH processa as férias, realiza cálculo, conferências e envio do pagamento ao financeiro.",Processamento após aprovação.,ferias_processamento,Alto
Q154,Processamento das férias,Reformulação semântica,Quem dá andamento administrativo às férias aprovadas?,A Administração estratégica de RH.,RH realiza processamento das férias.,ferias_processamento,Alto
Q155,Remuneração das férias,Direto ao ponto,Como é a remuneração das férias?,"É equivalente à remuneração que o colaborador receberia em exercício normal, acrescida de um terço.",Remuneração equivalente à normal + 1/3.,ferias_remuneracao,Alto
Q156,Remuneração das férias,Direto ao ponto,Recebo como se estivesse trabalhando?,"Sim. A remuneração das férias equivale à remuneração normal, acrescida de um terço.","Equivalente ao exercício normal, acrescida de 1/3.",ferias_remuneracao,Alto
Q157,Remuneração das férias,Coloquial ou ansioso,nas férias meu salário vem menor?,"Não conforme a política. A remuneração das férias deve ser equivalente à remuneração normal, acrescida de um terço.",Remuneração equivalente à normal + 1/3.,ferias_remuneracao,Alto
Q158,Remuneração das férias,Cenário complexo,"Se eu estivesse trabalhando normalmente, esse valor serve como base para férias?","Sim. A remuneração das férias será equivalente à que o colaborador receberia em exercício normal das atividades, acrescida de um terço.",Base é remuneração em exercício normal.,ferias_remuneracao,Alto
Q159,Remuneração das férias,Negativo ou limite,A política permite pagar férias sem o acréscimo de um terço?,Não. A política prevê remuneração acrescida de um terço.,Acrescida de um terço.,ferias_um_terco,Alto
Q160,Remuneração das férias,Busca por procedimento,Qual referência é usada para calcular a remuneração das férias?,A remuneração que o colaborador receberia em exercício normal das atividades.,Remuneração equivalente ao exercício normal.,ferias_remuneracao,Alto
Q161,Remuneração das férias,Reformulação semântica,O pagamento das férias acompanha minha remuneração normal?,"Sim. Ele é equivalente à remuneração normal, acrescida de um terço.",Pagamento equivalente à remuneração normal.,ferias_remuneracao,Alto
Q162,Gratificação de férias CPQD,Direto ao ponto,Qual é a gratificação de férias do CPQD?,"A política informa acréscimo de 36,7% como gratificação de férias.","Acréscimo de 36,7% como gratificação.",ferias_gratificacao_cpqd,Alto
Q163,Gratificação de férias CPQD,Direto ao ponto,Qual percentual adicional o estatuto do CPQD prevê?,"O estatuto do CPQD prevê acréscimo de 36,7% como gratificação de férias.","Estatuto CPQD: 36,7%.",ferias_gratificacao_cpqd,Alto
Q164,Gratificação de férias CPQD,Coloquial ou ansioso,"além do 1/3, tem mais alguma coisa no CPQD?","Sim. A política informa acréscimo de 36,7% como gratificação de férias, resultando em total de 70% do salário.","Gratificação de 36,7%, totalizando 70%.",ferias_gratificacao_cpqd,Alto
Q165,Gratificação de férias CPQD,Cenário complexo,"Somando a gratificação prevista no CPQD, qual total a política menciona?",A política menciona valor total de 70% do salário do colaborador.,Resultando em valor total de 70% do salário.,ferias_total_70,Alto
Q166,Gratificação de férias CPQD,Negativo ou limite,A política informa que a gratificação CPQD é opcional?,"Não. O texto informa que ficou convencionado o acréscimo de 36,7%, sem tratá-lo como opcional.","Haverá acréscimo de 36,7%.",ferias_gratificacao_cpqd,Alto
Q167,Gratificação de férias CPQD,Busca por procedimento,"Onde a política fundamenta a gratificação de 36,7%?","No estatuto do CPQD, conforme mencionado no texto.",De acordo com o estatuto do CPQD.,ferias_gratificacao_cpqd,Alto
Q168,Gratificação de férias CPQD,Reformulação semântica,O adicional CPQD de férias soma quanto do salário?,"Segundo a política, resulta em valor total de 70% do salário do colaborador.",Valor total de 70% do salário.,ferias_total_70,Alto
Q169,Prazo de pagamento das férias,Direto ao ponto,Quando as férias devem ser pagas?,Até dois dias antes do início do respectivo período de gozo das férias.,Pagamento até dois dias antes do início.,ferias_prazo_pagamento,Alto
Q170,Prazo de pagamento das férias,Direto ao ponto,O pagamento vem antes das férias?,Sim. Deve ser realizado até dois dias antes do início das férias.,Até dois dias antes do início.,ferias_prazo_pagamento,Alto
Q171,Prazo de pagamento das férias,Coloquial ou ansioso,vou receber antes de sair de férias né?,Sim. A política prevê pagamento até dois dias antes do início do período de gozo.,Pagamento até dois dias antes.,ferias_prazo_pagamento,Alto
Q172,Prazo de pagamento das férias,Cenário complexo,"Se minhas férias começam na segunda-feira, qual regra de prazo se aplica ao pagamento?",O pagamento deve ser feito até dois dias antes do início do período de gozo.,Prazo de dois dias antes do início.,ferias_prazo_pagamento,Alto
Q173,Prazo de pagamento das férias,Negativo ou limite,A empresa pode pagar depois que as férias começaram?,Não conforme a política. O pagamento deve ocorrer até dois dias antes do início.,Pagamento até dois dias antes.,ferias_prazo_pagamento,Alto
Q174,Prazo de pagamento das férias,Busca por responsabilidade,Quem envia o pagamento ao financeiro?,A Administração estratégica de RH envia o pagamento ao financeiro.,RH realiza envio de pagamento ao financeiro.,ferias_financeiro,Alto
Q175,Prazo de pagamento das férias,Reformulação semântica,Até quando o valor das férias precisa estar pago?,Até dois dias antes do início das férias.,Pagamento até dois dias antes do início.,ferias_prazo_pagamento,Alto
Q176,Férias proporcionais,Direto ao ponto,Tenho férias proporcionais na rescisão?,"Sim. Em caso de rescisão, o colaborador tem direito a férias proporcionais aos meses trabalhados no período aquisitivo em curso.",Férias proporcionais em caso de rescisão.,ferias_proporcionais,Alto
Q177,Férias proporcionais,Direto ao ponto,Como calcula férias proporcionais?,Na proporção de 1/12 avos a cada 15 dias ou mais trabalhados no mês.,1/12 avos a cada 15 dias ou mais.,ferias_proporcionais,Alto
Q178,Férias proporcionais,Coloquial ou ansioso,"se eu sair da empresa, recebo férias proporcionais?",Sim. A política prevê férias proporcionais em caso de rescisão do contrato de trabalho.,Direito em caso de rescisão.,ferias_rescisao,Alto
Q179,Férias proporcionais,Cenário complexo,Trabalhei 15 dias ou mais em um mês antes da rescisão. Esse mês conta?,Sim. A política considera 1/12 avos a cada 15 dias ou mais trabalhados no mês.,15 dias ou mais trabalhados no mês.,ferias_proporcionais,Alto
Q180,Férias proporcionais,Negativo ou limite,Trabalhei menos de 15 dias no mês. A política diz que conta?,Essa informação não está especificada diretamente. A política só menciona 1/12 avos a cada 15 dias ou mais trabalhados.,Regra cita 15 dias ou mais.,ferias_proporcionais,Baixo
Q181,Férias proporcionais,Busca por procedimento,Em qual situação a política trata férias proporcionais?,Em caso de rescisão do contrato de trabalho.,Em caso de rescisão.,ferias_rescisao,Alto
Q182,Férias proporcionais,Reformulação semântica,"Na saída da empresa, tenho direito proporcional aos meses trabalhados?",Sim. A política prevê férias proporcionais aos meses trabalhados no período aquisitivo em curso.,Proporcionais aos meses trabalhados.,ferias_proporcionais,Alto
Q183,Estabilidade pós-férias,Direto ao ponto,Existe estabilidade depois das férias?,"Sim. Após as férias, o colaborador tem direito à estabilidade pelo mesmo número de dias que gozou de férias.",Estabilidade pelo mesmo número de dias gozados.,ferias_estabilidade,Alto
Q184,Estabilidade pós-férias,Direto ao ponto,Por quantos dias fico estável após férias?,Pelo mesmo número de dias que gozou de férias.,Mesmo número de dias gozados.,ferias_estabilidade,Alto
Q185,Estabilidade pós-férias,Coloquial ou ansioso,"tirei 20 dias, fico protegido por 20 dias?",Sim. A estabilidade é pelo mesmo número de dias usufruídos de férias.,Estabilidade pelo mesmo número de dias.,ferias_estabilidade,Alto
Q186,Estabilidade pós-férias,Cenário complexo,"Se eu gozar 14 dias de férias parceladas, qual estabilidade tenho?","Pela política, a estabilidade será pelo mesmo número de dias gozados, ou seja, 14 dias.",Estabilidade pelo mesmo número de dias gozados.,ferias_estabilidade,Alto
Q187,Estabilidade pós-férias,Negativo ou limite,A política diz que não tenho estabilidade após férias?,Não. A política afirma que há estabilidade no emprego pelo mesmo número de dias gozados.,Colaborador tem direito à estabilidade.,ferias_estabilidade,Alto
Q188,Estabilidade pós-férias,Busca por procedimento,Como saber o período de estabilidade pós-férias?,Conte o mesmo número de dias que foram gozados de férias.,Mesmo número de dias que gozou.,ferias_estabilidade,Alto
Q189,Estabilidade pós-férias,Reformulação semântica,A estabilidade acompanha a quantidade de dias de férias tirados?,Sim. Ela corresponde ao mesmo número de dias gozados.,Mesmo número de dias usufruídos.,ferias_estabilidade,Alto
Q190,Recesso do estagiário,Direto ao ponto,Estagiário tem direito a recesso?,Sim. Estagiários têm direito a recesso remunerado de 30 dias a cada 12 meses de estágio.,Recesso remunerado de 30 dias a cada 12 meses.,estagio_recesso,Alto
Q191,Recesso do estagiário,Direto ao ponto,Quantos dias de recesso o estagiário tem?,30 dias a cada 12 meses de estágio.,30 dias a cada 12 meses.,estagio_recesso,Alto
Q192,Recesso do estagiário,Coloquial ou ansioso,estagiário também descansa remunerado?,Sim. O recesso dos estagiários é remunerado.,Recesso remunerado.,estagio_recesso,Alto
Q193,Recesso do estagiário,Cenário complexo,O recesso do estagiário deve coincidir com as férias escolares?,A política informa que deve ocorrer preferencialmente durante as férias escolares.,Preferencialmente durante as férias escolares.,estagio_ferias_escolares,Alto
Q194,Recesso do estagiário,Negativo ou limite,Estagiário fica sem recesso remunerado?,Não conforme a política. Estagiários têm direito a recesso remunerado.,Direito a recesso remunerado.,estagio_recesso,Alto
Q195,Recesso do estagiário,Busca por procedimento,Quando o estagiário ganha direito a 30 dias de recesso?,A cada 12 meses de estágio.,30 dias a cada 12 meses de estágio.,estagio_recesso,Alto
Q196,Recesso do estagiário,Reformulação semântica,O descanso do estagiário é chamado de férias?,A política usa o termo recesso remunerado para estagiários.,Estagiários têm direito a recesso remunerado.,estagio_recesso,Alto
Q197,Recesso proporcional do estagiário,Direto ao ponto,Estágio menor que 12 meses tem recesso?,"Sim. Para estágios com duração inferior a 12 meses, o recesso será proporcional ao período estagiado.",Recesso proporcional para duração inferior a 12 meses.,estagio_recesso_proporcional,Alto
Q198,Recesso proporcional do estagiário,Direto ao ponto,Recesso proporcional existe para estagiário?,Sim. Existe quando o estágio tem duração inferior a 12 meses.,Recesso proporcional ao período estagiado.,estagio_recesso_proporcional,Alto
Q199,Recesso proporcional do estagiário,Coloquial ou ansioso,"meu estágio é curto, perco o recesso?",Não conforme a política. O recesso será proporcional ao período estagiado.,Recesso proporcional.,estagio_recesso_proporcional,Alto
Q200,Recesso proporcional do estagiário,Cenário complexo,Meu contrato de estágio termina antes de completar 12 meses. Tenho algum recesso?,Sim. O recesso será concedido proporcionalmente ao período estagiado.,Estágios inferiores a 12 meses têm recesso proporcional.,estagio_recesso_proporcional,Alto
Q201,Recesso proporcional do estagiário,Negativo ou limite,A política diz que estágio abaixo de 12 meses não tem recesso?,Não. Ela informa que o recesso será proporcional ao período estagiado.,Recesso proporcional para menos de 12 meses.,estagio_recesso_proporcional,Alto
Q202,Recesso proporcional do estagiário,Busca por procedimento,Como considerar recesso em estágio menor que 12 meses?,Deve ser concedido de forma proporcional ao período estagiado.,Proporcional ao período estagiado.,estagio_recesso_proporcional,Alto
Q203,Recesso proporcional do estagiário,Reformulação semântica,O recesso acompanha o tempo de estágio?,"Sim. Para contratos inferiores a 12 meses, ele é proporcional ao período estagiado.",Recesso proporcional ao período.,estagio_recesso_proporcional,Alto
Q204,Programação do recesso do estagiário,Direto ao ponto,Como o estagiário programa o recesso?,"Após alinhar o período com o gestor, o estagiário realiza a programação no portal RH e o gestor aprova.","Alinhar com gestor, programar no portal RH e aprovação.",estagio_programacao,Alto
Q205,Programação do recesso do estagiário,Direto ao ponto,Quem aprova o recesso do estagiário?,O gestor aprova o recesso do estagiário.,Gestor realiza a aprovação.,estagio_aprovacao,Alto
Q206,Programação do recesso do estagiário,Coloquial ou ansioso,"sou estagiário, tenho que lançar recesso no portal?","Sim. Após alinhar com o gestor, o estagiário realiza a programação no portal RH.",Estagiário programa no portal RH.,estagio_portal_rh,Alto
Q207,Programação do recesso do estagiário,Cenário complexo,O gestor deve considerar férias escolares ao aprovar meu recesso de estágio?,Sim. A aprovação considera a conveniência para a empresa e o período de férias escolares do estagiário.,Considera conveniência da empresa e férias escolares.,estagio_ferias_escolares,Alto
Q208,Programação do recesso do estagiário,Negativo ou limite,Estagiário pode tirar recesso sem aprovação do gestor?,Não. O gestor realiza a aprovação do recesso.,Gestor efetua aprovação.,estagio_aprovacao,Alto
Q209,Programação do recesso do estagiário,Busca por procedimento,Qual é o passo a passo do recesso do estagiário?,"Alinhar com o gestor, programar no portal RH e aguardar a aprovação do gestor.","Alinhamento, portal RH e aprovação.",estagio_programacao,Alto
Q210,Programação do recesso do estagiário,Reformulação semântica,O recesso do estagiário também precisa ser combinado com o gestor?,Sim. O estagiário deve alinhar o período de recesso com o gestor.,Após alinhar com o gestor.,estagio_programacao,Alto
Q211,Remuneração do recesso,Direto ao ponto,O recesso do estagiário é remunerado?,Sim. O recesso dos estagiários é remunerado com base na bolsa-auxílio recebida.,Recesso remunerado com base na bolsa-auxílio.,estagio_remuneracao,Alto
Q212,Remuneração do recesso,Direto ao ponto,Qual é a base da remuneração do recesso?,A bolsa-auxílio recebida pelo estagiário.,Remuneração baseada na bolsa-auxílio.,estagio_remuneracao,Alto
Q213,Remuneração do recesso,Coloquial ou ansioso,no recesso eu continuo recebendo bolsa?,Sim. O recesso é remunerado com base na bolsa-auxílio recebida.,Recesso pago com base na bolsa-auxílio.,estagio_remuneracao,Alto
Q214,Remuneração do recesso,Cenário complexo,"Se meu valor de referência é a bolsa-auxílio, ela é usada para remunerar o recesso?",Sim. A política informa que o recesso será remunerado com base na bolsa-auxílio recebida.,Base na bolsa-auxílio recebida.,estagio_remuneracao,Alto
Q215,Remuneração do recesso,Negativo ou limite,O recesso do estagiário é sem pagamento?,Não. A política informa que o recesso é remunerado.,Recesso será remunerado.,estagio_remuneracao,Alto
Q216,Remuneração do recesso,Busca por procedimento,Como calcular o recesso do estagiário?,A política informa apenas que a remuneração é baseada na bolsa-auxílio recebida; não detalha fórmula de cálculo.,"Base na bolsa-auxílio, sem fórmula detalhada.",estagio_remuneracao,Médio
Q217,Remuneração do recesso,Reformulação semântica,O pagamento do recesso considera a bolsa do estágio?,Sim. A remuneração do recesso é baseada na bolsa-auxílio recebida.,Bolsa-auxílio como base.,estagio_remuneracao,Alto
Q218,Exceções à política,Direto ao ponto,Quem aprova exceções à política?,Qualquer exceção deve ser aprovada pelo gestor de Recursos Humanos.,Exceções aprovadas pelo gestor de RH.,ferias_excecoes,Alto
Q219,Exceções à política,Direto ao ponto,Toda exceção precisa de aprovação do RH?,Sim. Toda exceção à política deve ser aprovada pelo gestor de Recursos Humanos.,Toda exceção deve ser aprovada pelo gestor de RH.,ferias_excecoes,Alto
Q220,Exceções à política,Coloquial ou ansioso,"meu caso é diferente, quem pode liberar exceção?",O gestor de Recursos Humanos deve aprovar qualquer exceção à política.,Qualquer exceção deve receber aprovação do gestor de RH.,ferias_excecoes,Alto
Q221,Exceções à política,Cenário complexo,Meu gestor imediato concordou com uma exceção fora da política. Isso basta?,Essa informação não está especificada como suficiente. A política informa que exceções devem ser aprovadas pelo gestor de Recursos Humanos.,Exceções aprovadas pelo gestor de RH.,ferias_excecoes,Médio
Q222,Exceções à política,Negativo ou limite,Posso aplicar uma exceção sem aprovação do gestor de RH?,Não. Qualquer exceção deve ser aprovada pelo gestor de Recursos Humanos.,Exceções devem ser autorizadas pelo gestor de RH.,ferias_excecoes,Alto
Q223,Exceções à política,Busca por procedimento,Como solicito uma exceção à política de férias?,Essa informação não está especificada na política fornecida. A política apenas diz que exceções devem ser aprovadas pelo gestor de Recursos Humanos.,Não há procedimento de solicitação descrito.,ferias_excecao_procedimento,Baixo
Q224,Exceções à política,Reformulação semântica,Quem autoriza casos fora da regra?,O gestor de Recursos Humanos.,Qualquer exceção deve receber aprovação do gestor de RH.,ferias_excecoes,Alto